,S.No.,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
371,12359,Okhaldhunga,Molung Rural Municipality,Molung,Molung
372,12360,Bhojpur,Ramprasadrai Rural Municipality,Ramprasad Rai,Ramprasadrai
373,12375,Taplejung,Aathraitribeni Rural Municipality,Aathrai Tribeni,Aathraitribeni
374,12376,Salyan,Chhatreshwori Rural Municipality,Chhatreshwori,Chhatreshwori
375,12377,Kapilbastu,Buddhabhumi Municipality,Buddhabhumi,Buddhabhumi
376,12381,Sarlahi,Chakraghatta Rural Municipality,Chakraghatta,Chakraghatta
377,12385,Nawalparasi (Bardghat Susta West),Palhinandan Rural Municipality,Palhi Nandan,Palhinandan
378,12393,Khotang,Kepilasgadhi Rural Municipality,Kepilasagadhi,Kepilasgadhi
379,12394,Bhojpur,Arun Rural Municipality,Arun,Arun
380,12396,Ilam,Mansebung Rural Municipality,Mangsebung,Mansebung
381,12401,Sindhupalchowk,Jugal Rural Municipality,Jugal,Jugal
382,12402,Kavrepalanchowk,Bhumlu Rural Municipality,Bhumlu,Bhumlu
383,12404,Sindhuli,Dudhauli Municipality,Dudhouli,Dudhauli
384,12411,Morang,Miklajung Rural Municipality,Miklajung,Miklajung
385,12411,Morang,Miklajung Rural Municipality,Miklajung,Miklajung
386,12418,Ilam,Ilam Municipality,Illam,Ilam
387,12420,Surkhet,Chaukune Rural Municipality,Chaukune,Chaukune
388,12422,Nawalparasi (Bardghat Susta West),Ramgram Municipality,Ramgram,Ramgram
389,12423,Nawalparasi (Bardghat Susta West),Bardghat Municipality,Bardaghat,Bardghat
390,12424,Baglung,Tarakhola Rural Municipality,Tara Khola,Tarakhola
391,12428,Sindhupalchowk,Bahrabise Municipality,Barhabise,Bahrabise
392,12432,Rupandehi,Gaidahawa Rural Municipality,Gaidahawa,Gaidahawa
393,12433,Lalitpur,Mahankal Rural Municipality,Mahankal,Mahankal
394,12436,Ramechhap,Gokulganga Rural Municipality,Gokulganga,Gokulganga
395,12437,Mahottari,Loharpatti Municipality,Loharpatti,Loharpatti
396,12440,Gulmi,Dhurkot Rural Municipality,Dhurkot,Dhurkot
397,12447,Pyuthan,Gaumukhi Rural Municipality,Gaumukhi,Gaumukhi
398,12450,Chitawan,Bharatpur,Bharatpur,Bharatpur
399,12451,Sarlahi,Balra Municipality,Balara,Balra
400,12457,Salyan,Bagchaur Municipality,Bagchaur,Bagchaur
401,12460,Kapilbastu,Banganga Municipality,Banganga,Banganga
402,12461,Dhading,Benighatrorang Rural Municipality,Benighat Rorang,Benighatrorang
403,12462,Bara,Suwarna Rural Municipality,Suwarna,Suwarna
404,12462,Bara,Suwarna Rural Municipality,Suwarnabati,Suwarna
405,12464,Dhanusha,Mithila Municipality,Mithila,Mithila
406,12464,Dhanusha,Mithila Municipality,Mithila Bihari,Mithila
407,12471,Morang,Dhanapalthan Rural Municipality,Dhanpalthan,Dhanapalthan
408,12475,Khotang,Sakela Rural Municipality,Sakela,Sakela
409,12476,Dhankuta,Choubise Rural Municipality,Chaubise,Choubise
410,12479,Ilam,Maijogmai Rural Municipality,Maijogmai,Maijogmai
411,12480,Bajhang,Khaptadchhanna Rural Municipality,Khaptadchhanna,Khaptadchhanna
412,12483,Kapilbastu,Shivaraj,Shivaraj,Shivaraj
413,12485,Parbat,Mahashila Rural Municipality,Mahashila,Mahashila
414,12489,Sarlahi,Haripur Municipality,Haripur,Haripur
415,12489,Sarlahi,Haripur Municipality,Haripurwa,Haripur
416,12497,Nawalparasi (Bardghat Susta West),Pratappur Rural Municipality,Pratappur,Pratappur
417,12506,Achhaam,Panchadewalbinayak Municipality,Panchadewal Binayak,Panchadewalbinayak
418,12507,Nawalparasi (Bardghat Susta East),Bulingtar Rural Municipality,Bulingtar,Bulingtar
419,12508,Shyanja,Chapakot Municipality,Chapakot,Chapakot
420,12514,Sarlahi,Lalbandi,Lalbandi,Lalbandi
421,12516,Sunsari,Ramdhuni Municipality,Ramdhuni,Ramdhuni
422,12527,Dhankuta,Sahidbhumi Rural Municipality,Khalsa Chhintang Shahidbhumi,Sahidbhumi
423,12530,Doti,Sayal Rural Municipality,Sayal,Sayal
424,12532,Bara,Devtal Rural Municipality,Devtal,Devtal
425,12533,Rautahat,Dewahigonahi Municipality,Dewahhi Gonahi,Dewahigonahi
426,12537,Salyan,Bangadkupinde Municipality,Bangad Kupinde,Bangadkupinde
427,12541,Rupandehi,Lumbinisanskritik Municipality,Lumbini Sanskritik Development Area,Lumbinisanskritik
428,12546,Sarlahi,Godaita Municipality,Godaita,Godaita
429,12547,Mahottari,Balwa Municipality,Balwa,Balwa
430,12551,Kanchanpur,Punarbas Municipality,Punarbas,Punarbas
431,12570,Nawalparasi (Bardghat Susta East),Kawasoti Municipality,Kawasoti,Kawasoti
432,12571,Parbat,Modi Rural Municipality,Modi,Modi
433,12576,Kavrepalanchowk,Mandandeupur Municipality,Mandandeupur,Mandandeupur
434,12585,Gulmi,Gulmidarbar Rural Municipality,Gulmidarbar,Gulmidarbar
435,12589,Kathmandu,Gokarneshwor Municipality,Gokarneshwor,Gokarneshwor
436,12591,Sindhupalchowk,Lisankhupakhar Rural Municipality,Lisangkhu Pakhar,Lisankhupakhar
437,12592,Sindhuli,Phikkal Rural Municipality,Phikkal,Phikkal
438,12603,Dang,Lamahi Municipality,Lamahi,Lamahi
439,12605,Lamjung,Madhyanepal Municipality,MadhyaNepal,Madhyanepal
440,12607,Lamjung,Rainas Municipality,Rainas,Rainas
441,12620,Baglung,Tamankhola Rural Municipality,Taman Khola,Tamankhola
442,12628,Bajhang,Chhabispathivera Rural Municipality,Chabispathivera,Chhabispathivera
443,12629,Bardiya,Badhaiyatal Rural Municipality,Badhaiyatal,Badhaiyatal
444,12631,Shyanja,Putalibazar Municipality,Putalibazar,Putalibazar
445,12632,Kaski,Annapurna Rural Municipality,Annapurna,Annapurna
446,12632,Kaski,Annapurna Rural Municipality,Annapurna,Annapurna
447,12637,Ramechhap,Sunapati Rural Municipality,Sunapati,Sunapati
448,12644,Ilam,Rong Rural Municipality,Rong,Rong
449,12646,Sindhupalchowk,Helambu Rural Municipality,Helambu,Helambu
450,12648,Siraha,Bhagwanpur Rural Municipality,Bhagawanpur,Bhagwanpur
451,12652,Kapilbastu,Krishnanagar Municipality,Krishnanagar,Krishnanagar
452,12655,Parsa,Thori Rural Municipality,Thori,Thori
453,12657,Dhanusha,Shahidnagar Municipality,Sahidnagar,Shahidnagar
454,12661,Palpa,Purbakhola Rural Municipality,Purbakhola,Purbakhola
455,12666,Bara,Pachrauta Municipality,Pacharauta,Pachrauta
456,12671,Darchula,Naugad Rural Municipality,Naugad,Naugad
457,12673,Rukum West,Banphikot Rural Municipality,Banfikot,Banphikot
458,12675,Tanahu,Bhanu Municipality,Bhanu,Bhanu
459,12676,Gorkha,Bhimsenthapa Rural Municipality,Bhimsen,Bhimsenthapa
460,12681,Parsa,Jagarnathpur Rural Municipality,Jagarnathpur,Jagarnathpur
461,12687,Lamjung,Kwholasothar Rural Municipality,Kwholasothar,Kwholasothar
462,12688,Lamjung,Dordi Rural Municipality,Dordi,Dordi
463,12696,Mahottari,Matihani Municipality,Matihani,Matihani
464,12706,Rupandehi,Tilottama Municipality,Tillotama,Tilottama
465,12709,Sarlahi,Kawilasi Municipality,Kabilasi,Kawilasi
466,12713,Jhapa,Gaurigunj Rural Municipality,Gauriganj,Gaurigunj
467,12714,Bhojpur,Aamchowk Rural Municipality,Aamchowk,Aamchowk
468,12717,Parsa,Dhobini Rural Municipality,Dhobini,Dhobini
469,12723,Dhankuta,Chhatharjorpati Rural Municipality,Chhathar Jorpati,Chhatharjorpati
470,12726,Achhaam,Chaurpati Rural Municipality,Chaurpati,Chaurpati
471,12727,Salyan,Kalimati Rural Municipality,Kalimati,Kalimati
472,12730,Baglung,Nisikhola Rural Municipality,Nisikhola,Nisikhola
473,12731,Shyanja,Waling Municipality,Waling,Waling
474,12732,Dhading,Rubivalley Rural Municipality,Rubi Valley,Rubivalley
475,12735,Udayapur,Udayapurgadhi Rural Municipality,Udayapurgadhi,Udayapurgadhi
476,12740,Sindhupalchowk,Indrawati Rural Municipality,Indrawati,Indrawati
477,12753,Morang,Jahada Rural Municipality,Jahada,Jahada
478,12765,Doti,Jorayal Rural Municipality,Jorayal,Jorayal
479,12772,Sindhuli,Ghyanglekh Rural Municipality,Ghanglekh,Ghyanglekh
480,12777,Parsa,Paterwasugauli Rural Municipality,Paterwasugauli,Paterwasugauli
481,12797,Achhaam,Turmakhad Rural Municipality,Turmakhad,Turmakhad
482,12818,Nawalparasi (Bardghat Susta East),Baudikali Rural Municipality,Bungdikali,Baudikali
483,12821,Khotang,Diprung Chuichumma Rural Municipality,Diprung,Diprung Chuichumma
484,12832,Kavrepalanchowk,Panauti Municipality,Panauti,Panauti
485,12852,Rukum East,Sisne Rural Municipality,Sisne,Sisne
486,12862,Achhaam,Mangalsen Municipality,Mangalsen,Mangalsen
487,12863,Achhaam,Sanfebagar Municipality,Sanphebagar,Sanfebagar
488,12867,Rupandehi,Rohini Rural Municipality,Rohini,Rohini
489,12872,Achhaam,Kamalbazar Municipality,Kamalbazar,Kamalbazar
490,12873,Achhaam,Bannigadhijaygadh Rural Municipality,Bannigadhi Jayagadh,Bannigadhijaygadh
491,12876,Achhaam,Dhakari Rural Municipality,Dhakari,Dhakari
492,12890,Sindhupalchowk,Bhotekoshi Rural Municipality,Bhotekoshi,Bhotekoshi
493,12905,Rasuwa,Kalika Rural Municipality,Kalika,Kalika
494,12905,Rasuwa,Kalika Rural Municipality,Kalikamai,Kalika
495,12905,Rasuwa,Kalika Rural Municipality,Kalika,Kalika
496,12905,Rasuwa,Kalika Rural Municipality,Kalika,Kalika
497,12913,Parsa,Jirabhawani Rural Municipality,Jirabhawani,Jirabhawani
498,12918,Kanchanpur,Beldandi Rural Municipality,Beldandi,Beldandi
499,12932,Gorkha,Dharche Rural Municipality,Dharche,Dharche
500,12934,Bara,Aadarshakotwal Rural Municipality,Adarshkotwal,Aadarshakotwal
501,12938,Salyan,Sharada Municipality,Sharada,Sharada
502,12944,Dolakha,Bhimeshwor Municipality,Bhimeshwor,Bhimeshwor
503,12945,Parsa,Bindabasini Rural Municipality,Bindabasini,Bindabasini
504,12947,Saptari,Mahadeva Rural Municipality,Mahadeva,Mahadeva
505,12951,Rukum West,Triveni Rural Municipality,Aathrai Tribeni,Triveni
506,12951,Rukum West,Triveni Rural Municipality,Tribeni,Triveni
507,12951,Rukum West,Triveni Rural Municipality,Tribeni,Triveni
508,12951,Rukum West,Triveni Rural Municipality,Tribeni,Triveni
509,12951,Rukum West,Triveni Rural Municipality,Tribeni Nalagad,Triveni
510,12951,Rukum West,Triveni Rural Municipality,Sanni Tribeni,Triveni
511,12951,Rukum West,Triveni Rural Municipality,Tribeni,Triveni
512,12951,Rukum West,Triveni Rural Municipality,Binayee Tribeni,Triveni
513,12952,Pyuthan,Naubahini Rural Municipality,Naubahini,Naubahini
514,12953,Pyuthan,Swargadwari Municipality,Sworgadwary,Swargadwari
515,12956,Arghakhanchi,Sandhikharka Municipality,Sandhikharka,Sandhikharka
516,12957,Parbat,Phalewas Municipality,Phalebas,Phalewas
517,12974,Bardiya,Geruwa Rural Municipality,Geruwa,Geruwa
518,12976,Palpa,Tinau Rural Municipality,Tinau,Tinau
519,12978,Makawanpur,Indrasarowar Rural Municipality,Indrasarowar,Indrasarowar
520,12979,Dhanusha,Kamalasiddhidatri Rural Municipality,Kamala,Kamalasiddhidatri
521,12979,Dhanusha,Kamalasiddhidatri Rural Municipality,Kamalamai,Kamalasiddhidatri
522,12987,Bajura,Triveni Municipality,Aathrai Tribeni,Triveni
523,12987,Bajura,Triveni Municipality,Tribeni,Triveni
524,12987,Bajura,Triveni Municipality,Tribeni,Triveni
525,12987,Bajura,Triveni Municipality,Tribeni,Triveni
526,12987,Bajura,Triveni Municipality,Tribeni Nalagad,Triveni
527,12987,Bajura,Triveni Municipality,Sanni Tribeni,Triveni
528,12987,Bajura,Triveni Municipality,Tribeni,Triveni
529,12987,Bajura,Triveni Municipality,Binayee Tribeni,Triveni
530,12998,Dang,Bangalachuli Rural Municipality,Banglachuli,Bangalachuli
531,13002,Lamjung,Besishahar Municipality,Besishahar,Besishahar
532,13006,Rukum West,Sanibheri Rural Municipality,Sani Bheri,Sanibheri
533,13009,Gulmi,Satyawati Rural Municipality,Satyawati,Satyawati
534,13010,Gulmi,Malika Rural Municipality,Malika,Malika
535,13010,Gulmi,Malika Rural Municipality,Malika,Malika
536,13010,Gulmi,Malika Rural Municipality,Malikaarjun,Malika
537,13014,Dailekh,Narayan Municipality,Madhav Narayan,Narayan
538,13016,Rukum East,Bhume Rural Municipality,Bhumekasthan,Bhume
539,13018,Nuwakot,Belkotgadhi Municipality,Belkotgadhi,Belkotgadhi
540,13025,Salyan,Kumakh Rural Municipality,Kumakhmalika,Kumakh
541,13026,Banke,Narainapur Rural Municipality,Narainapur,Narainapur
542,13027,Dang,Babai Rural Municipality,Babai,Babai
543,13032,Kapilbastu,Yasodhara Rural Municipality,Yashodhara,Yasodhara
544,13036,Mugu,Mugumkarmarong Rural Municipality,Mugum Karmarong,Mugumkarmarong
545,13039,Gorkha,Siranchowk Rural Municipality,Siranchok,Siranchowk
546,13040,Nuwakot,Kispang Rural Municipality,Kispang,Kispang
547,13041,Parsa,Chhipaharmai Rural Municipality,Chhipaharmai,Chhipaharmai
548,13042,Siraha,Sakhuwanankarkatti Rural Municipality,Sakhuwanankarkatti,Sakhuwanankarkatti
549,13059,Bajhang,Durgathali Rural Municipality,Durgathali,Durgathali
550,13060,Bajhang,Thalara Rural Municipality,Thalara,Thalara
551,13071,Chitawan,Ichchhakamana Rural Municipality,Ichchhyakamana,Ichchhakamana
552,13098,Jhapa,Jhapa Rural Municipality,Jhapa,Jhapa
553,13103,Dang,Dangisharan Rural Municipality,Dangisharan,Dangisharan
554,13117,Siraha,Mirchaiya Municipality,Mirchaiya,Mirchaiya
555,13145,Panchthar,Kummayak Rural Municipality,Kummayak,Kummayak
556,13155,Kailali,Gauriganga Municipality,Gauriganga,Gauriganga
557,13156,Kailali,Joshipur Rural Municipality,Joshipur,Joshipur
558,13159,Kailali,Kailari Rural Municipality,Kailari,Kailari
559,13161,Kailali,Mohanyal Rural Municipality,Mohanyal,Mohanyal
560,13162,Kailali,Bardgoriya Rural Municipality,Bardagoriya,Bardgoriya
561,13163,Kailali,Dhangadhi Submetropolitan City,Dhangadhimai,Dhangadhi
562,13165,Kailali,Bhajani Municipality,Bhajani,Bhajani
563,13168,Kailali,Lamkichuha Municipality,Lamkichuha,Lamkichuha
564,13182,Rupandehi,Siddarthanagar Municipality,Siddharthanagar,Siddarthanagar
565,13185,Sarlahi,Ramnagar Rural Municipality,Ramnagar,Ramnagar
566,13198,Dang,Rapti Rural Municipality,Rapti,Rapti
567,13198,Dang,Rapti Rural Municipality,Rapti,Rapti
568,13198,Dang,Rapti Rural Municipality,Rapti Sonari,Rapti
569,13209,Nawalparasi (Bardghat Susta West),Susta Rural Municipality,Susta,Susta
570,13212,Shyanja,Kaligandaki Rural Municipality,Kaligandaki,Kaligandaki
571,13213,Parbat,Bihadi Rural Municipality,Bihadi,Bihadi
572,13217,Nuwakot,Myagong Rural Municipality,Meghang,Myagong
573,13230,Sindhuli,Hariharpurgadhi Rural Municipality,Hariharpurgadhi,Hariharpurgadhi
574,13239,Sindhuli,Kamalamai Municipality,Kamalamai,Kamalamai
575,13240,Shankhuwasabha,Silichong Rural Municipality,Silichong,Silichong
576,13250,Mustang,Waragung Muktikshetra Rural Municipality,Barhagaun Muktikhsetra,Waragung Muktikshetra
577,13276,Dolakha,Kalinchowk Rural Municipality,Kalinchok,Kalinchowk
578,13288,Dailekh,Thantikandh Rural Municipality,Thantikandh,Thantikandh
579,13291,Dolakha,Bigu Rural Municipality,Bigu,Bigu
580,13293,Dadeldhura,Parshuram Municipality,Parashuram,Parshuram
581,13308,Bardiya,Bansgadhi Municipality,Bansagadhi,Bansgadhi
582,13319,Darchula,Malikarjun Rural Municipality,Malikaarjun,Malikarjun
583,13321,Dang,Shantinagar Rural Municipality,Shantinagar,Shantinagar
584,13322,Pyuthan,Mandavi Rural Municipality,Mandavi,Mandavi
585,13323,Lamjung,Sundarbazar Municipality,Sundarbazar,Sundarbazar
586,13324,Gorkha,Aarughat Rural Municipality,Aarughat,Aarughat
587,13326,Bara,Karaiyamai Rural Municipality,Karaiyamai,Karaiyamai
588,13340,Achhaam,Ramaroshan Rural Municipality,Ramaroshan,Ramaroshan
589,13343,Palpa,Ribdikot Rural Municipality,Ribdikot,Ribdikot
590,13356,Gorkha,Shahidlakhan Rural Municipality,Sahid Lakhan,Shahidlakhan
591,13377,Rolpa,Thabang Rural Municipality,Thawang,Thabang
592,13383,Udayapur,Limchungbung Rural Municipality,,Limchungbung
593,13386,Darchula,Shailyashikhar Municipality,Shailyashikhar,Shailyashikhar
594,13388,Kalikot,Shubha Kalika Rural Municipality,Kalika,Shubha Kalika
595,13388,Kalikot,Shubha Kalika Rural Municipality,Kalikamai,Shubha Kalika
596,13388,Kalikot,Shubha Kalika Rural Municipality,Kalika,Shubha Kalika
597,13388,Kalikot,Shubha Kalika Rural Municipality,Kalika,Shubha Kalika
598,13398,Dolpa,Thulibheri Municipality,Thuli Bheri,Thulibheri
599,13423,Kavrepalanchowk,Khanikhola Rural Municipality,Khanikhola,Khanikhola
600,13427,Sarlahi,Ishworpur Municipality,Ishworpur,Ishworpur
601,13430,Taplejung,Phaktanglung Rural Municipality,Phaktanglung,Phaktanglung
602,13439,Parsa,Sakhuwaprasauni Rural Municipality,SakhuwaPrasauni,Sakhuwaprasauni
603,13448,Ramechhap,Doramba Rural Municipality,Doramba,Doramba
604,13455,Dailekh,Bhairabi Rural Municipality,Bhairabi,Bhairabi
605,13456,Dailekh,Chamundabindrasaini Municipality,Chamunda Bindrasaini,Chamundabindrasaini
606,13466,Kanchanpur,Belauri Municipality,Belauri,Belauri
607,13471,Rasuwa,Aamachhodingmo Rural Municipality,,Aamachhodingmo
608,13473,Surkhet,Chingad Rural Municipality,Chingad,Chingad
609,13475,Pyuthan,Jhimruk Rural Municipality,Jhimruk,Jhimruk
610,13481,Dolakha,Gaurishankar Rural Municipality,Gaurishankar,Gaurishankar
611,13499,Ilam,Deumai Municipality,Deumai,Deumai
612,13503,Rupandehi,Sammarimai Rural Municipality,Sammarimai,Sammarimai
613,13526,Sindhupalchowk,Melamchi Municipality,Melamchi,Melamchi
614,13551,Nuwakot,Kakani Rural Municipality,Kakani,Kakani
615,13558,Shyanja,Harinas Rural Municipality,Harinas,Harinas
616,13563,Panchthar,Hilihang Rural Municipality,Hilihang,Hilihang
617,13566,Arghakhanchi,Chhatradev Rural Municipality,Chhatradev,Chhatradev
618,13570,Gorkha,Gorkha Municipality,Gorkha,Gorkha
619,13574,Surkhet,Bheriganga Municipality,Bheriganga,Bheriganga
620,13575,Dailekh,Dullu Municipality,Dullu,Dullu
621,13583,Terhathum,Menchhayayem Rural Municipality,Menchayam,Menchhayayem
622,13616,Parbat,Paiyun Rural Municipality,Painyu,Paiyun
623,13626,Dhading,Khaniyabas Rural Municipality,Khaniyabash,Khaniyabas
624,13628,Dhading,Netrawati Dabajon Rural Municipality,Netrawati,Netrawati Dabajon
625,13645,Siraha,Bariyapatti Rural Municipality,Bariyarpatti,Bariyapatti
626,13661,Surkhet,Gurbhakot Municipality,Gurbhakot,Gurbhakot
627,13669,Nawalparasi (Bardghat Susta West),Sarawal Rural Municipality,Sarawal,Sarawal
628,13674,Makawanpur,Thaha Municipality,Thaha,Thaha
629,13713,Taplejung,Mikwakhola Rural Municipality,Mikwakhola,Mikwakhola
630,13725,Nawalparasi (Bardghat Susta West),Sunwal Municipality,Sunwal,Sunwal
631,13726,Nawalparasi (Bardghat Susta East),Hupsekot Rural Municipality,Hupsekot,Hupsekot
632,13734,Gulmi,Ruru Rural Municipality,Ruru,Ruru
633,13735,Rupandehi,Kanchan Rural Municipality,Kanchanrup,Kanchan
634,13744,Darchula,Vyans Rural Municipality,Byas,Vyans
635,13744,Darchula,Vyans Rural Municipality,Byas,Vyans
636,13748,Nuwakot,Shivapuri Rural Municipality,Shivapuri,Shivapuri
637,13748,Nuwakot,Shivapuri Rural Municipality,Shivapuri Watershed and Wildlife Reserve,Shivapuri
638,13761,Siraha,Karjanha Municipality,Karjanha,Karjanha
639,13795,Nuwakot,Tadi Rural Municipality,Tadi,Tadi
640,13827,Bhojpur,Salpasilichho Rural Municipality,Salpasilichho,Salpasilichho
641,13832,Rukum West,Aathbiskot Municipality,Aathbiskot,Aathbiskot
642,13835,Palpa,Rambha Rural Municipality,Rambha,Rambha
643,13849,Nuwakot,Suryagadhi Rural Municipality,Suryagadhi,Suryagadhi
644,13869,Ilam,Sandakpur Rural Municipality,Sandakpur,Sandakpur
645,13871,Kanchanpur,Bheemdatta Municipality,Bhimdatta,Bheemdatta
646,13872,Bajhang,Bitthadchir Rural Municipality,Bithadchir,Bitthadchir
647,13892,Dadeldhura,Aalital Rural Municipality,Alital,Aalital
648,13893,Humla,Chankheli Rural Municipality,Chankheli,Chankheli
649,13896,Palpa,Mathagadhi Rural Municipality,Mathagadhi,Mathagadhi
650,13903,Dhading,Dhunibeshi Municipality,Dhunibesi,Dhunibeshi
651,13906,Solukhumbu,Likhupike Rural Municipality,Likhupike,Likhupike
652,13912,Lalitpur,Konjyosom Rural Municipality,Konjyosom,Konjyosom
653,13913,Dhading,Galchhi Rural Municipality,Galchi,Galchhi
654,13920,Jumla,Patarasi Rural Municipality,Patrasi,Patarasi
655,13928,Dolakha,Melung Rural Municipality,Melung,Melung
656,13937,Nuwakot,Panchakanya Rural Municipality,Panchakanya,Panchakanya
657,13939,Jhapa,Bahradashi Rural Municipality,Barhadashi,Bahradashi
658,13943,Bajura,Himali Rural Municipality,Himali,Himali
659,13952,Ilam,Mai Municipality,Maiwakhola,Mai
660,13953,Humla,Kharpunath Rural Municipality,Kharpunath,Kharpunath
661,13972,Mugu,Chhayanathrara Municipality,Chhayanath Rara,Chhayanathrara
662,13975,Tanahu,Devghat Rural Municipality,Devghat,Devghat
663,13976,Gorkha,Gandaki Rural Municipality,Gandaki,Gandaki
664,13988,Dadeldhura,Navadurga Rural Municipality,Nawadurga,Navadurga
665,13996,Kavrepalanchowk,Mahabharat Rural Municipality,Mahabharat,Mahabharat
666,13999,Achhaam,Hattikot,,Hattikot
667,14010,Jajarkot,Bheri Municipality,Bheriganga,Bheri
668,14016,Arghakhanchi,Panini Rural Municipality,Panini,Panini
669,14027,Rolpa,Sunchhahari Rural Municipality,Sunchhahari,Sunchhahari
670,14042,Dadeldhura,Amargadhi Municipality,Amargadhi,Amargadhi
671,14047,Dadeldhura,Ajayameru Rural Municipality,Ajaymeru,Ajayameru
672,14070,Sunsari,Inaruwa Municipality,Inaruwa,Inaruwa
673,14089,Humla,Adanchuli Rural Municipality,Adanchuli,Adanchuli
674,14092,Myagdi,Mangala Rural Municipality,Mangala,Mangala
675,14098,Bajhang,Kedarasyu Rural Municipality,Kedarseu,Kedarasyu
676,14099,Dailekh,Aathabis Municipality,Aathabis,Aathabis
677,14108,Dadeldhura,Ganyapadhura Rural Municipality,Ganayapdhura,Ganyapadhura
678,14137,Jajarkot,Nalgaad Municipality,,Nalgaad
679,14146,Bajhang,Bungal Municipality,Bungal,Bungal
680,14152,Rupandehi,Marchawari Rural Municipality,Marchawari,Marchawari
681,14156,Mustang,Thasang Rural Municipality,Thasang,Thasang
682,14159,Kathmandu,Kathmandu,Kathmandu,Kathmandu
683,14194,Dailekh,Dungeshwor Rural Municipality,Dungeshwor,Dungeshwor
684,14195,Jajarkot,Chhedagad Municipality,Chhedagad,Chhedagad
685,14207,Dhading,Tripurasundari Rural Municipality,Tripurasundari,Tripurasundari
686,14207,Dhading,Tripurasundari Rural Municipality,Tripurasundari,Tripurasundari
687,14237,Terhathum,Myanglung Municipality,Myanglung,Myanglung
688,14256,Surkhet,Birendranagar Municipality,Birendranagar,Birendranagar
689,14257,Dailekh,Gurans Rural Municipality,Gurans,Gurans
690,14258,Jajarkot,Kushe Rural Municipality,Kuse,Kushe
691,14281,Ilam,Phakphokthum Rural Municipality,Fakphokthum,Phakphokthum
692,14282,Jajarkot,Barekot Rural Municipality,Barekot,Barekot
693,14290,Panchthar,Yangwarak Rural Municipality,Yangwarak,Yangwarak
694,14290,Panchthar,Yangwarak Rural Municipality,Yangwarak,Yangwarak
695,14311,Doti,Aadarsha Rural Municipality,Adarshkotwal,Aadarsha
696,14320,Kalikot,Khandachakra Municipality,Khandachakra,Khandachakra
697,14327,Dhading,Thakre Rural Municipality,Thakre,Thakre
698,14346,Okhaldhunga,Manebhanjyang Rural Municipality,Manebhanjyang,Manebhanjyang
699,14370,Dolpa,Jagdulla Rural Municipality,Jagadulla,Jagdulla
700,14372,Dhading,Gajuri Rural Municipality,Gajuri,Gajuri
701,14392,Lamjung,Marsyangdi Rural Municipality,Marsyangdi,Marsyangdi
702,14409,Mugu,Khatyad Rural Municipality,Khatyad,Khatyad
703,14419,Bajura,Jagannath Rural Municipality,,Jagannath
704,14420,Surkhet,Barahatal Rural Municipality,Barahtal,Barahatal
705,14421,Surkhet,Lekbeshi Municipality,Lekbeshi,Lekbeshi
706,14485,Kanchanpur,Shuklaphanta Municipality,Shuklaphanta,Shuklaphanta
707,14485,Kanchanpur,Shuklaphanta Municipality,Shuklaphanta National Park,Shuklaphanta
708,14514,Nuwakot,Dupcheshwor Rural Municipality,Dupcheshwar,Dupcheshwor
709,14521,Gorkha,Chumanuwri Rural Municipality,Chum Nubri,Chumanuwri
710,14524,Sarlahi,Chandranagar Rural Municipality,Chandranagar,Chandranagar
711,14530,Gulmi,Chandrakot Rural Municipality,Chandrakot,Chandrakot
712,14578,Manang,Nasong Rural Municipality,Nashong,Nasong
713,14634,Morang,Kerabari Rural Municipality,Kerabari,Kerabari
714,14641,Makawanpur,Raksirang Rural Municipality,Raksirang,Raksirang
715,14646,Rupandehi,Siyari Rural Municipality,Siyari,Siyari
716,14647,Mustang,LETE,,LETE
717,14692,Dhankuta,Sangurigadhi Rural Municipality,Sangurigadhi,Sangurigadhi
718,14765,Salyan,Kapurkot Rural Municipality,Kapurkot,Kapurkot
719,14826,Kanchanpur,Mahakali Municipality,Mahakali,Mahakali
720,14826,Kanchanpur,Mahakali Municipality,Mahakali,Mahakali
721,14845,Khotang,Aiselukharka Rural Municipality,Ainselukhark,Aiselukharka
722,14851,Ramechhap,Likhu Tamakoshi Rural Municipality,Likhupike,Likhu Tamakoshi
723,14851,Ramechhap,Likhu Tamakoshi Rural Municipality,Likhu,Likhu Tamakoshi
724,14851,Ramechhap,Likhu Tamakoshi Rural Municipality,Likhu,Likhu Tamakoshi
725,14851,Ramechhap,Likhu Tamakoshi Rural Municipality,Likhu,Likhu Tamakoshi
726,14859,Dolpa,Dolpobuddha Rural Municipality,Dolpo Buddha,Dolpobuddha
727,14920,Dolakha,Tamakoshi Rural Municipality,Tamakoshi,Tamakoshi
728,14922,Dhanusha,Bateshwor Rural Municipality,Bateshwor,Bateshwor
729,14986,Kanchanpur,Bedkot Municipality,Bedkot,Bedkot
730,15011,Rautahat,Maulapur Municipality,Maulapur,Maulapur
731,15033,Okhaldhunga,Champadevi Rural Municipality,Champadevi,Champadevi
732,15038,Nawalparasi (Bardghat Susta East),Devchuli Municipality,Devchuli,Devchuli
733,15051,Baitadi,Patan Municipality,Patan,Patan
734,15054,Kathmandu,Shankharapur Municipality,Shankharapur,Shankharapur
735,15128,Okhaldhunga,Siddhicharan Municipality,Siddhicharan,Siddhicharan
736,15138,Humla,Namkha Rural Municipality,Namkha,Namkha
