,VDC/Municipality,Localbody
174,Thalara Rural Municipality,Thalara
175,,JayaPrithivi
176,,Talkot
177,Kalika Municipality,Kalika
178,Kalika Rural Municipality,Kalika
179,Shubha Kalika Rural Municipality,Kalika
180,Kalikamai Rural Municipality,Kalika
181,,Ichchhyakamana
182,Mirchaiya Municipality,Mirchaiya
183,Kachankawal Rural Municipality,Kachankawal
184,Katari Municipality,Katari
185,Aamchowk Rural Municipality,Aamchowk
186,Annapurna Rural Municipality,Annapurna
187,,Kaligandagi
188,Galyang Municipality,Galyang
189,Bihadi Rural Municipality,Bihadi
190,Rangeli Municipality,Rangeli
191,,Mangsebung
192,,Kanthekhola
193,,Lumbini Sanskritik
194,Itahari Submetropolitan City,Itahari
195,Belauri Municipality,Belauri
196,Gadhawa Rural Municipality,Gadhawa
197,Khotehang Rural Municipality,Khotehang
198,Gadhimai Municipality,Gadhi
199,Gadhi Rural Municipality,Gadhi
200,Belbari Municipality,Belbari
201,Shivapuri Rural Municipality,Shivapuri
202,Dharan Submetropolitan City,Dharan
203,Bakaiya Rural Municipality,Bakaiya
204,Jhapa Rural Municipality,Jhapa
205,,MadhyaNepal
206,,Runtigadi
207,,Pokhara Lekhnath
208,,Bangad Kupinde
209,Bhimad Municipality,Bhimad
210,Tapli Rural Municipality,Tapli
211,Myagde Rural Municipality,Myagde
212,Sangurigadhi Rural Municipality,Sangurigadhi
213,Sirijangha Rural Municipality,Sirijangha
214,Makalu Rural Municipality,Makalu
215,Mahashila Rural Municipality,Mahashila
216,Purchaudi Municipality,Purchaudi
217,,Dhanpalthan
218,Bishnupur Rural Municipality,Bishnupur
219,,Adharsha
220,Phedikhola Rural Municipality,Phedikhola
221,Aandhikhola Rural Municipality,Aandhikhola
222,,Bhirkot
223,,Khaniyabash
224,Rajpur Rural Municipality,Rajpur
225,Rajpur Municipality,Rajpur
226,,Rapti Sonari
227,Kawasoti Municipality,Kawasoti
228,,Manra Siswa
229,,Bhimdatta
230,Godawari Municipality,Godawari
231,Baijanath Rural Municipality,Baijanath
232,Kohalpur Municipality,Kohalpur
233,Duduwa Rural Municipality,Duduwa
234,,Bardaghat
235,Parsagadhi Municipality,Parsagadhi
236,Tarakeshwor Municipality,Tarakeshwor
237,Tarakeshwor Rural Municipality,Tarakeshwor
238,,Dudhouli
239,Thaha Municipality,Thaha
240,Bhajani Municipality,Bhajani
241,Shuklagandaki Municipality,Shuklagandaki
242,Gauriganga Municipality,Gauriganga
243,,Nilakantha
244,Kanepokhari Rural Municipality,Kanepokhari
245,Indrasarowar Rural Municipality,Indrasarowar
246,Sunwal Municipality,Sunwal
247,Waling Municipality,Waling
248,,Narphu
249,Surma Rural Municipality,Surma
250,Hatuwagadhi Rural Municipality,Hatuwagadhi
251,Panchkhal Municipality,Panchkhal
252,Miklajung Rural Municipality,Miklajung
253,Bhadrapur Municipality,Bhadrapur
254,Bhimsenthapa Rural Municipality,Bhimsen
255,Tadi Rural Municipality,Tadi
256,Gaidakot Municipality,Gaidakot
257,,Sabhapokhari
258,Jaljala Rural Municipality,Jaljala
259,,Sahid Lakhan
260,Kushma Municipality,Kushma
261,Lamkichuha Municipality,Lamkichuha
262,Suryagadhi Rural Municipality,Suryagadhi
263,Biratnagar Metropolitan City,Biratnagar
264,Simkot Rural Municipality,Simkot
265,,Khairahani
266,Haripurwa Municipality,Haripurwa
267,Inaruwa Municipality,Inaruwa
268,Bulingtar Rural Municipality,Bulingtar
269,Shailyashikhar Municipality,Shailyashikhar
270,Gosaikunda Rural Municipality,Gosaikunda
271,Gangajamuna Rural Municipality,Gangajamuna
272,,Phatuwa Bijayapur
273,Melung Rural Municipality,Melung
274,Putalibazar Municipality,Putalibazar
275,,Tillotama
276,,Khumbupasanglahmu
277,Bheriganga Municipality,Bheri
278,Bheri Municipality,Bheri
279,Ramaroshan Rural Municipality,Ramaroshan
280,,Kalinchok
281,Mandandeupur Municipality,Mandandeupur
282,Bigu Rural Municipality,Bigu
283,Kakani Rural Municipality,Kakani
284,,Tribeni Nalagad
285,Nisikhola Rural Municipality,Nisikhola
286,,Falgunanda
287,Gaumukhi Rural Municipality,Gaumukhi
288,,Shivasataxi
289,Budhiganga Rural Municipality,Budhiganga
290,Budhiganga Municipality,Budhiganga
291,Myanglung Municipality,Myanglung
292,Belkotgadhi Municipality,Belkotgadhi
293,Kispang Rural Municipality,Kispang
294,,Barhabise
295,,Kumakhmalika
296,,Jitpur Simara
297,Likhu Tamakoshi Rural Municipality,Tamakoshi
298,Tamakoshi Rural Municipality,Tamakoshi
299,Dangisharan Rural Municipality,Dangisharan
300,Molung Rural Municipality,Molung
301,Dhurkot Rural Municipality,Dhurkot
302,Deumai Municipality,Deumai
303,,Soru
304,Budhinanda Municipality,Budhinanda
305,Hetauda Submetropolitan City,Hetauda
306,Nisdi Rural Municipality,Nisdi
307,,Chhayanath Rara
308,Netrawati Dabajon Rural Municipality,Netrawati
309,Phedap Rural Municipality,Phedap
310,Marsyangdi Rural Municipality,Marsyangdi
311,Marma Rural Municipality,Marma
312,Bandipur Rural Municipality,Bandipur
313,Godaita Municipality,Godaita
314,Chandranagar Rural Municipality,Chandranagar
315,,Chum Nubri
316,Darma Rural Municipality,Darma
317,Simraungadh Municipality,Simraungadh
318,Mikwakhola Rural Municipality,Mikwakhola
319,Sakela Rural Municipality,Sakela
320,,Dogadakedar
321,Beni Municipality,Beni
322,Benighatrorang Rural Municipality,Beni
323,Malika Rural Municipality,Malika
324,Malikarjun Rural Municipality,Malika
325,Shuklaphanta Municipality,Shuklaphanta
326,,Malangawa
327,,Dhaulagiri
328,Narainapur Rural Municipality,Narainapur
329,,Bardiya National Park
330,Roshi Rural Municipality,Roshi
331,Besishahar Municipality,Besishahar
332,Gaurishankar Rural Municipality,Gaurishankar
333,Arjundhara Municipality,Arjundhara
334,Katahariya Municipality,Katahariya
335,Susta Rural Municipality,Susta
336,Mangalsen Municipality,Mangalsen
337,Adanchuli Rural Municipality,Adanchuli
338,Shivaraj,Shivaraj
339,Badigad Rural Municipality,Badigad
340,Baudhimai Municipality,Baudhimai
341,Baiteshwor Rural Municipality,Baiteshwor
342,,Uralabari
343,Namkha Rural Municipality,Namkha
344,,Kabilasi
345,Dhorpatan Municipality,Dhorpatan
346,Badimalika Municipality,Badimalika
347,,Barhagaun Muktikhsetra
348,Kailash Rural Municipality,Kailash
349,Tokha Municipality,Tokha
350,Rong Rural Municipality,Rong
351,Maiwakhola Rural Municipality,Mai
352,Maijogmai Rural Municipality,Mai
353,Mai Municipality,Mai
354,,Banglachuli
355,,SakhuwaPrasauni
356,,Bode Barsain
357,Amargadhi Municipality,Amargadhi
358,Palata Rural Municipality,Palata
359,Damak Municipality,Damak
360,Mechinagar Municipality,Mechinagar
361,Mechinagar,Mechinagar
