,District,VDC/Municipality,Localbody,VDC/Municipality_Stripped
172,Rupandehi,Omsatiya Rural Municipality,Omsatiya,Omsatiya
173,Lalitpur,Mahalaxmi Municipality,Mahalaxmi,Mahalaxmi
174,Lalitpur,Mahalaxmi Municipality,Mahalaxmi,Mahalaxmi
175,Humla,Tajakot Rural Municipality,,Tajakot
176,Sunsari,Dharan Submetropolitan City,Dharan,Dharan
177,Taplejung,Sidingba Rural Municipality,Sidingba,Sidingba
178,Kathmandu,Chandragiri Municipality,Chandragiri,Chandragiri
179,Chitawan,Ratnanagar Municipality,Ratnanagar,Ratnanagar
180,Rautahat,Ishnath Municipality,,Ishnath
181,Rautahat,Rajpur Municipality,Rajpur,Rajpur
182,Rautahat,Rajpur Municipality,Rajpur,Rajpur
183,Sarlahi,Malangwa Municipality,,Malangwa
184,Ilam,Chulachuli Rural Municipality,Chulachuli,Chulachuli
185,Bajura,Budhiganga Municipality,Budhiganga,Budhiganga
186,Bajura,Budhiganga Municipality,Budhiganga,Budhiganga
187,Shyanja,Arjunchaupari Rural Municipality,Arjunchaupari,Arjunchaupari
188,Ramechhap,Khandadevi Rural Municipality,,Khandadevi
189,Mahottari,Manrashiswa Rural Municipality,,Manrashiswa
190,Dhanusha,Bideha Municipality,Bideha,Bideha
191,Humla,Simkot Rural Municipality,Simkot,Simkot
192,Dang,Tulsipur Submetropolitan City,Tulsipur,Tulsipur
193,Manang,Manang Ngisyang Rural Municipality,,Manang Ngisyang
194,Dhading,Jwalamukhi Rural Municipality,Jwalamukhi,Jwalamukhi
195,Bara,Kolhabi Municipality,Kolhabi,Kolhabi
196,Dhanusha,Janakpur Submetropolitan City,Janakpur,Janakpur
197,Bhojpur,Hatuwagadhi Rural Municipality,Hatuwagadhi,Hatuwagadhi
198,Taplejung,Phungling Municipality,Phungling,Phungling
199,Gorkha,Palungtar Municipality,Palungtar,Palungtar
200,Jhapa,Gauradaha Municipality,,Gauradaha
201,Shankhuwasabha,Panchkhapan Municipality,,Panchkhapan
202,Shankhuwasabha,Chichila Rural Municipality,Chichila,Chichila
203,Jhapa,Kachankawal Rural Municipality,Kachankawal,Kachankawal
204,Humla,Sarkegad Rural Municipality,Sarkegad,Sarkegad
205,Rolpa,Sunil Smriti Rural Municipality,,Sunil Smriti
206,Tanahu,Rishing Rural Municipality,,Rishing
207,Bhaktapur,Changunarayan Municipality,Changunarayan,Changunarayan
208,Sarlahi,Kaudena Rural Municipality,Kaudena,Kaudena
209,Morang,Kanepokhari Rural Municipality,Kanepokhari,Kanepokhari
210,Morang,Letang Municipality,Letang,Letang
211,Dang,Gadhawa Rural Municipality,Gadhawa,Gadhawa
212,Rolpa,Gangadev Rural Municipality,,Gangadev
213,Rolpa,Rolpa Municipality,Rolpa,Rolpa
214,Myagdi,Beni Municipality,Benighat Rorang,Beni
215,Myagdi,Beni Municipality,Beni,Beni
216,Gorkha,Barpak Sulikot Rural Municipality,,Barpak Sulikot
217,Mahottari,Pipra Rural Municipality,Pipra,Pipra
218,Siraha,Golbazar Municipality,Golbazar,Golbazar
219,Bara,Parwanipur Rural Municipality,Parwanipur,Parwanipur
220,Jhapa,Arjundhara Municipality,Arjundhara,Arjundhara
221,Khotang,Khotehang Rural Municipality,Khotehang,Khotehang
222,Mahottari,Bhagaha Municipality,,Bhagaha
223,Jhapa,Buddhashanti Rural Municipality,Buddhashanti,Buddhashanti
224,Taplejung,Pathibhara Yangwarak Rural Municipality,,Pathibhara Yangwarak
225,Bajhang,Jayaprithvi Municipality,,Jayaprithvi
226,Parbat,Kushma Municipality,Kushma,Kushma
227,Mahottari,Sonma Rural Municipality,,Sonma
228,Mahottari,Ramgopalpur Municipality,Ramgopalpur,Ramgopalpur
229,Morang,Katahari Rural Municipality,Katahari,Katahari
230,Morang,Katahari Rural Municipality,Katahariya,Katahari
231,Banke,Khajura Rural Municipality,Khajura,Khajura
232,Rolpa,Lungri Rural Municipality,Lungri,Lungri
233,Saptari,Rajbiraj Municipality,Rajbiraj,Rajbiraj
234,Sunsari,Gadhi Rural Municipality,Gadhi,Gadhi
235,Sunsari,Gadhi Rural Municipality,Chautara SangachokGadhi,Gadhi
236,Sunsari,Gadhi Rural Municipality,Gadhimai,Gadhi
237,Achhaam,Mellekh Rural Municipality,Mellekh,Mellekh
238,Doti,Dipayalsilgadhi Municipality,,Dipayalsilgadhi
239,Shyanja,Aandhikhola Rural Municipality,Aandhikhola,Aandhikhola
240,Chitawan,Madi Municipality,Madi,Madi
241,Chitawan,Madi Municipality,Madi,Madi
242,Chitawan,Madi Municipality,Madi,Madi
243,Chitawan,Madi Municipality,Madi,Madi
244,Rasuwa,Uttargaya Rural Municipality,Uttargaya,Uttargaya
245,Morang,Sunawarshi Municipality,,Sunawarshi
246,Jhapa,Kamal Rural Municipality,Kamal,Kamal
247,Jhapa,Kamal Rural Municipality,Kamala,Kamal
248,Jhapa,Kamal Rural Municipality,Kamalamai,Kamal
249,Jhapa,Kamal Rural Municipality,Kamalbazar,Kamal
250,Jhapa,Haldibari Rural Municipality,Haldibari,Haldibari
251,Mahottari,Aurahi Municipality,Aurahi,Aurahi
252,Mahottari,Aurahi Municipality,Aurahi,Aurahi
253,Sunsari,Bhokraha Narsingha Rural Municipality,,Bhokraha Narsingha
254,Udayapur,Belaka Municipality,Belaka,Belaka
255,Baitadi,Dasharathchand Municipality,Dasharathchanda,Dasharathchand
256,Rolpa,Runtigadhi Rural Municipality,,Runtigadhi
257,Parbat,Jaljala Rural Municipality,Jaljala,Jaljala
258,Sunsari,Barju Rural Municipality,Barju,Barju
259,Udayapur,Chaudandigadhi Municipality,Chaudandigadhi,Chaudandigadhi
260,Shankhuwasabha,Makalu Rural Municipality,Makalu,Makalu
261,Pyuthan,Sarumarani Rural Municipality,Sarumarani,Sarumarani
262,Kapilbastu,Kapilvastu Municipality,,Kapilvastu
263,Rasuwa,Gosaikunda Rural Municipality,Gosaikunda,Gosaikunda
264,Kavrepalanchowk,Dhulikhel Municipality,Dhulikhel,Dhulikhel
265,Sindhuli,Tinpatan Rural Municipality,Tinpatan,Tinpatan
266,Okhaldhunga,Khijidemba Rural Municipality,Khijidemba,Khijidemba
267,Dang,Ghorahi Submetropolitan City,Ghorahi,Ghorahi
268,Pyuthan,Airawati Rural Municipality,,Airawati
269,Baglung,Bareng Rural Municipality,Bareng,Bareng
270,Nuwakot,Bidur Municipality,Bidur,Bidur
271,Ramechhap,Ramechhap Municipality,Ramechhap,Ramechhap
272,Saptari,Balanbihul Rural Municipality,,Balanbihul
273,Panchthar,Phalelung Rural Municipality,,Phalelung
274,Banke,Janaki Rural Municipality,Janaki,Janaki
275,Gulmi,Reshunga Municipality,,Reshunga
276,Arghakhanchi,Malarani Rural Municipality,Malarani,Malarani
277,Makawanpur,Bhimphedi Rural Municipality,Bhimphedi,Bhimphedi
278,Kavrepalanchowk,Panchkhal Municipality,Panchkhal,Panchkhal
279,Panchthar,Phidim Municipality,Phidim,Phidim
280,Palpa,Rainadevichhahara Rural Municipality,,Rainadevichhahara
281,Palpa,Tansen Municipality,Tansen,Tansen
282,Kathmandu,Dakshinkali Municipality,Dakshinkali,Dakshinkali
283,Bhaktapur,Bhaktapur Municipality,Bhaktapur,Bhaktapur
284,Makawanpur,Bakaiya Rural Municipality,Bakaiya,Bakaiya
285,Rasuwa,Naukunda Rural Municipality,Naukunda,Naukunda
286,Kavrepalanchowk,Roshi Rural Municipality,Roshi,Roshi
287,Morang,Gramthan Rural Municipality,Gramthan,Gramthan
288,Jhapa,Bhadrapur Municipality,Bhadrapur,Bhadrapur
289,Terhathum,Chhathar Rural Municipality,Chhathar Jorpati,Chhathar
290,Terhathum,Chhathar Rural Municipality,Chhathar,Chhathar
291,Shankhuwasabha,Bhotkhola Rural Municipality,Bhotkhola,Bhotkhola
292,Rukum West,Chaurjahari Municipality,Chaurjahari,Chaurjahari
293,Baglung,Baglung Municipality,Baglung,Baglung
294,Makawanpur,Kailash Rural Municipality,Kailash,Kailash
295,Terhathum,Laligurans Municipality,Laligurans,Laligurans
296,Okhaldhunga,Chishankhugadhi Rural Municipality,,Chishankhugadhi
297,Solukhumbu,Mahakulung Rural Municipality,Mahakulung,Mahakulung
298,Terhathum,Aathrai Rural Municipality,Aathrai Tribeni,Aathrai
299,Terhathum,Aathrai Rural Municipality,Aathrai,Aathrai
300,Baglung,Kathekhola Rural Municipality,,Kathekhola
301,Lalitpur,Lalitpur Metropolitan City,,Lalitpur Metropolitan City
302,Bhaktapur,Suryabinayak Municipality,Suryabinayak,Suryabinayak
303,Dhading,Gangajamuna Rural Municipality,Gangajamuna,Gangajamuna
304,Morang,Rangeli Municipality,Rangeli,Rangeli
305,Jhapa,Damak Municipality,Damak,Damak
306,Udayapur,Tapli Rural Municipality,Tapli,Tapli
307,Jhapa,Kankai Municipality,Kankai,Kankai
308,Arghakhanchi,Bhumikasthan Municipality,,Bhumikasthan
309,Solukhumbu,Khumbupasanglhamu Rural Municipality,,Khumbupasanglhamu
310,Dhading,Neelakantha Municipality,,Neelakantha
311,Nawalparasi (Bardghat Susta East),Binayitribeni Rural Municipality,,Binayitribeni
312,Sindhupalchowk,Chautarasangachowkgadhi Municipality,,Chautarasangachowkgadhi
313,Mahottari,Samsi Rural Municipality,Samsi,Samsi
314,Solukhumbu,Nechasalyan Rural Municipality,Nechasalyan,Nechasalyan
315,Kavrepalanchowk,Bethanchowk Rural Municipality,Bethanchowk,Bethanchowk
316,Lalitpur,Godawari Municipality,Godawari,Godawari
317,Lalitpur,Godawari Municipality,Godawari,Godawari
318,Jhapa,Shivasatakshi Municipality,,Shivasatakshi
319,Sunsari,Harinagar Rural Municipality,Harinagara,Harinagar
320,Khotang,Rawa Besi Rural Municipality,,Rawa Besi
321,Bardiya,Madhuwan Municipality,Madhuwan,Madhuwan
322,Parsa,Bahudarmai Municipality,,Bahudarmai
323,Bajura,Badimalika Municipality,Badimalika,Badimalika
324,Rolpa,Madi Rural Municipality,Madi,Madi
325,Rolpa,Madi Rural Municipality,Madi,Madi
326,Rolpa,Madi Rural Municipality,Madi,Madi
327,Rolpa,Madi Rural Municipality,Madi,Madi
328,Bara,Mahagadhimai Municipality,Mahagadhimai,Mahagadhimai
329,Morang,Ratuwamai Municipality,Ratuwamai,Ratuwamai
330,Dolpa,Tripurasundari Municipality,Tripurasundari,Tripurasundari
331,Dolpa,Tripurasundari Municipality,Tripurasundari,Tripurasundari
332,Kathmandu,Tokha Municipality,Tokha,Tokha
333,Mahottari,Ekdara Rural Municipality,,Ekdara
334,Morang,Patharisanishchare Municipality,,Patharisanishchare
335,Shankhuwasabha,Dharmadevi Municipality,Dharmadevi,Dharmadevi
336,Baitadi,Melauli Municipality,Melauli,Melauli
337,Bajura,Budhinanda Municipality,Budhinanda,Budhinanda
338,Bardiya,Barbardiya Municipality,Barbardiya,Barbardiya
339,Bara,Nijgadh Municipality,Nijgadh,Nijgadh
340,Mahottari,Manara,,Manara
341,Okhaldhunga,Likhu Rural Municipality,Likhupike,Likhu
342,Okhaldhunga,Likhu Rural Municipality,Likhu,Likhu
343,Okhaldhunga,Likhu Rural Municipality,Likhu,Likhu
344,Okhaldhunga,Likhu Rural Municipality,Likhu,Likhu
345,Baglung,Galkot Municipality,Galkot,Galkot
346,Tanahu,Aanbookhaireni Rural Municipality,,Aanbookhaireni
347,Sindhupalchowk,Balephi Rural Municipality,,Balephi
348,Parsa,Pokhariya Municipality,Pokhariya,Pokhariya
349,Sarlahi,Brahmapuri Rural Municipality,,Brahmapuri
350,Bhojpur,Shadananda Municipality,Shadananda,Shadananda
351,Solukhumbu,Sotang Rural Municipality,Sotang,Sotang
352,Chitawan,Khairhani Municipality,,Khairhani
353,Sarlahi,Lalbandi Municipality,Lalbandi,Lalbandi
354,Dhanusha,Kshireshwornath Municipality,,Kshireshwornath
355,Bhojpur,Bhojpur Municipality,Bhojpur,Bhojpur
356,Shankhuwasabha,Khandbari Municipality,Khandbari,Khandbari
357,Palpa,Rampur Municipality,Rampur,Rampur
358,Shyanja,Biruwa Rural Municipality,Biruwa,Biruwa
359,Shyanja,Galyang Municipality,Galyang,Galyang
360,Kavrepalanchowk,Namobuddha Municipality,Namobuddha,Namobuddha
361,Kavrepalanchowk,Chaurideurali Rural Municipality,Chaurideurali,Chaurideurali
362,Pyuthan,Pyuthan Municipality,Pyuthan,Pyuthan
363,Makawanpur,Makawanpurgadhi Rural Municipality,Makawanpurgadhi,Makawanpurgadhi
364,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
365,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
366,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
367,Sindhupalchowk,Sunkoshi Rural Municipality,Sunkoshi,Sunkoshi
368,Dolakha,Jiri Municipality,Jiri,Jiri
369,Bara,Prasauni Rural Municipality,Prasauni,Prasauni
370,Bara,Prasauni Rural Municipality,SakhuwaPrasauni,Prasauni
371,Solukhumbu,Solududhkunda Municipality,,Solududhkunda
372,Dhankuta,Dhankuta Municipality,Dhankuta,Dhankuta
373,Shankhuwasabha,Savapokhari Rural Municipality,,Savapokhari
374,Jumla,Tatopani Rural Municipality,Tatopani,Tatopani
375,Tanahu,Myagde Rural Municipality,Myagde,Myagde
376,Kathmandu,Budhanilkantha Municipality,,Budhanilkantha
377,Sindhuli,Golanjor Rural Municipality,Golanjor,Golanjor
378,Sarlahi,Dhankaul Rural Municipality,Dhankaul,Dhankaul
379,Dhankuta,Pakhribas Municipality,Pakhribas,Pakhribas
380,Bajhang,Masta Rural Municipality,Masta,Masta
381,Chitawan,Rapti Municipality,Rapti,Rapti
382,Chitawan,Rapti Municipality,Rapti,Rapti
383,Chitawan,Rapti Municipality,Rapti Sonari,Rapti
384,Okhaldhunga,Molung Rural Municipality,Molung,Molung
385,Bhojpur,Ramprasadrai Rural Municipality,,Ramprasadrai
386,Taplejung,Aathraitribeni Rural Municipality,,Aathraitribeni
387,Salyan,Chhatreshwori Rural Municipality,Chhatreshwori,Chhatreshwori
388,Kapilbastu,Buddhabhumi Municipality,Buddhabhumi,Buddhabhumi
389,Sarlahi,Chakraghatta Rural Municipality,Chakraghatta,Chakraghatta
390,Nawalparasi (Bardghat Susta West),Palhinandan Rural Municipality,,Palhinandan
391,Khotang,Kepilasgadhi Rural Municipality,,Kepilasgadhi
392,Bhojpur,Arun Rural Municipality,Arun,Arun
393,Ilam,Mansebung Rural Municipality,,Mansebung
394,Sindhupalchowk,Jugal Rural Municipality,Jugal,Jugal
395,Kavrepalanchowk,Bhumlu Rural Municipality,Bhumlu,Bhumlu
396,Sindhuli,Dudhauli Municipality,,Dudhauli
397,Morang,Miklajung Rural Municipality,Miklajung,Miklajung
398,Morang,Miklajung Rural Municipality,Miklajung,Miklajung
399,Ilam,Ilam Municipality,,Ilam
400,Surkhet,Chaukune Rural Municipality,Chaukune,Chaukune
401,Nawalparasi (Bardghat Susta West),Ramgram Municipality,Ramgram,Ramgram
402,Nawalparasi (Bardghat Susta West),Bardghat Municipality,,Bardghat
403,Baglung,Tarakhola Rural Municipality,,Tarakhola
404,Sindhupalchowk,Bahrabise Municipality,,Bahrabise
405,Rupandehi,Gaidahawa Rural Municipality,Gaidahawa,Gaidahawa
406,Lalitpur,Mahankal Rural Municipality,Mahankal,Mahankal
407,Ramechhap,Gokulganga Rural Municipality,Gokulganga,Gokulganga
408,Mahottari,Loharpatti Municipality,Loharpatti,Loharpatti
409,Gulmi,Dhurkot Rural Municipality,Dhurkot,Dhurkot
410,Pyuthan,Gaumukhi Rural Municipality,Gaumukhi,Gaumukhi
411,Chitawan,Bharatpur,Bharatpur,Bharatpur
412,Sarlahi,Balra Municipality,,Balra
413,Salyan,Bagchaur Municipality,Bagchaur,Bagchaur
414,Kapilbastu,Banganga Municipality,Banganga,Banganga
415,Dhading,Benighatrorang Rural Municipality,,Benighatrorang
416,Bara,Suwarna Rural Municipality,Suwarna,Suwarna
417,Bara,Suwarna Rural Municipality,Suwarnabati,Suwarna
418,Dhanusha,Mithila Municipality,Mithila,Mithila
419,Dhanusha,Mithila Municipality,Mithila Bihari,Mithila
420,Morang,Dhanapalthan Rural Municipality,,Dhanapalthan
421,Khotang,Sakela Rural Municipality,Sakela,Sakela
422,Dhankuta,Choubise Rural Municipality,,Choubise
423,Ilam,Maijogmai Rural Municipality,Maijogmai,Maijogmai
